feedback_id,customer_id,category_id,feedback_date,feedback_description,sentiment,source,rating,response_status,improvement_suggested,
1,1,1,00:00.0,I love this product!,Positive,Twitter,5,Responded,N/A,
2,2,2,00:00.0,I had a terrible experience with their service.,Negative,Yelp,2,Responded,Improve service,
3,3,3,00:00.0,This product exceeded my expectations!,Positive,Amazon,5,Not Responded,N/A,
4,4,4,04/09/2024 00:00,I am very disappointed with the quality of this item.,Negative,Online Store,1,Responded,Quality check,
5,5,5,00:00.0,Amazing experience! Would definitely recommend!,Positive,TripAdvisor,5,Not Responded,N/A,
6,6,6,00:00.0,The product is not as described.,Negative,Amazon,2,Responded,Update description,
7,7,7,00:00.0,Absolutely loved it!,Positive,Instagram,5,Not Responded,N/A,
8,8,8,00:00.0,Very unhappy with my purchase.,Negative,eBay,1,Responded,Improve product,
9,9,9,00:00.0,The movie was just okay.,Neutral,IMDb,3,Not Responded,N/A,
10,10,10,00:00.0,Highly recommend this service!,Positive,Yelp,5,Responded,N/A,
11,11,11,00:00.0,The food was bland and unappetizing.,Negative,Zomato,2,Responded,Improve flavor,
12,12,12,00:00.0,Customer service was quick to respond.,Positive,Facebook,4,Not Responded,N/A,
13,13,13,00:00.0,The experience was underwhelming.,Negative,Google Reviews,2,Responded,Enhance experience,
14,14,14,00:00.0,This restaurant is my new favorite!,Positive,TripAdvisor,5,Not Responded,N/A,
15,15,15,00:00.0,The app keeps crashing on my phone.,Negative,App Store,1,Responded,Fix app,
16,16,16,00:00.0,I had a fantastic time at the concert!,Positive,Event Review,5,Not Responded,N/A,
17,17,17,00:00.0,Not worth the price.,Negative,Yelp,2,Responded,Review pricing,
18,18,18,00:00.0,The staff was friendly and helpful.,Positive,TripAdvisor,4,Not Responded,N/A,
19,19,19,00:00.0,The quality of this item is subpar.,Negative,Amazon,1,Responded,Improve quality,
20,20,20,00:00.0,Just had the best meal ever!,Positive,Instagram,5,Not Responded,N/A,
21,21,21,00:00.0,I am very disappointed in the shipping time.,Negative,Online Store,2,Responded,Improve shipping,
22,22,22,00:00.0,I love this song!,Positive,Spotify,5,Not Responded,N/A,
23,23,23,00:00.0,The movie was a waste of time.,Negative,IMDb,1,Responded,Improve production,
24,24,24,00:00.0,Best shopping experience I’ve had!,Positive,Facebook,5,Not Responded,N/A,
25,25,25,00:00.0,The product arrived late and damaged.,Negative,Online Store,1,Responded,Better packaging,
26,26,26,00:00.0,I cannot get enough of this restaurant!,Positive,TripAdvisor,5,Not Responded,N/A,
27,27,27,00:00.0,The customer support was unhelpful.,Negative,Yelp,2,Responded,Improve support,
28,28,28,00:00.0,Amazing value for money!,Positive,Google Reviews,5,Not Responded,N/A,
29,29,29,00:00.0,I am not satisfied with the service I received.,Negative,Online Forum,2,Responded,Improve service,
30,30,30,00:00.0,This app is incredibly useful!,Positive,App Store,5,Not Responded,N/A,
31,31,31,00:00.0,The food was overpriced and underwhelming.,Negative,Zomato,2,Responded,Improve quality,
32,32,32,00:00.0,I had a great time at the theme park!,Positive,Event Review,5,Not Responded,N/A,
33,33,33,00:00.0,The staff was rude and dismissive.,Negative,TripAdvisor,1,Responded,Improve service,
34,34,34,00:00.0,This product works exactly as advertised!,Positive,Amazon,5,Not Responded,N/A,
35,35,35,00:00.0,I am not impressed with the quality of this item.,Negative,Online Store,1,Responded,Improve quality,
36,36,36,00:00.0,This is my go-to restaurant!,Positive,Yelp,5,Not Responded,N/A,
